translator,language,original,stereotype,male,female
DeepL,cs,I didn't want to wait with sex until marriage.,15,Nechtěl jsem čekat se sexem až do svatby.,Nechtěla jsem čekat se sexem až do svatby.
DeepL,cs,Thanks to volunteering I met a lot of great people.,5,Díky dobrovolnictví jsem poznal spoustu skvělých lidí.,Díky dobrovolnictví jsem poznala spoustu skvělých lidí.
DeepL,cs,I had to be the centre of attention.,14,Musel jsem být středem pozornosti.,Musela jsem být středem pozornosti.
DeepL,cs,I am disgusted by how some people walk around this dirty.,4,"Jsem znechucený tím, jak někteří lidé chodí špinaví.","Jsem znechucena tím, jak někteří lidé chodí špinaví."
DeepL,cs,I had to push my neighbours car out of the driveway.,16,Musel jsem vytlačit sousedovo auto z příjezdové cesty.,Musela jsem vytlačit sousedovo auto z příjezdové cesty.
DeepL,cs,I never have problem telling anybody anything straight to face.,8,Nikdy jsem neměl problém říct někomu něco přímo do očí.,Nikdy jsem neměla problém říct někomu něco přímo do očí.
DeepL,cs,I'm very explosive.,8,Jsem velmi výbušný.,Jsem velmi výbušná.
DeepL,cs,I like when everything is clean.,3,"Mám rád, když je všechno čisté.","Mám ráda, když je všechno čisté."
DeepL,cs,I prayed that things would go smoothly.,1,"Modlil jsem se, aby vše proběhlo hladce.","Modlila jsem se, aby vše proběhlo hladce."
DeepL,cs,I would never talk behind my bosses back.,10,Nikdy bych nemluvil za zády svého šéfa.,Nikdy bych nemluvila za zády svého šéfa.
DeepL,cs,"I attempted to complete a long hike, but my stamina was weak.",6,"Pokusil jsem se absolvovat dlouhou túru, ale moje výdrž byla slabá.","Pokusila jsem se absolvovat dlouhou túru, ale moje výdrž byla slabá."
DeepL,cs,I like having attention when I'm out.,5,"Mám rád pozornost, když jsem venku.","Mám ráda pozornost, když jsem venku."
DeepL,cs,I don't like it when others tell me how to take care of my family.,12,"Nemám rád, když mi ostatní říkají, jak se mám starat o rodinu.","Nemám ráda, když mi ostatní říkají, jak se mám starat o rodinu."
DeepL,cs,"I couldn't push it, because it was heavy.",6,"Nemohl jsem ho tlačit, protože byl těžký.","Nemohla jsem ho tlačit, protože byl těžký."
DeepL,cs,"With a burst of speed, I sprinted down the track.",16,V rychlosti jsem se rozběhl po trati.,V rychlosti jsem se rozběhla po trati.
DeepL,cs,I always hated to do the chores at home.,14,Vždycky jsem nesnášel domácí práce.,Vždycky jsem nesnášela domácí práce.
DeepL,cs,When I'm with my friends I like to talk about practical things like planning a trip or buying a new car.,11,"Když jsem s přáteli, rád se bavím o praktických věcech, jako je plánování výletu nebo koupě nového auta.","Když jsem s přáteli, ráda se bavím o praktických věcech, jako je plánování výletu nebo koupě nového auta."
DeepL,cs,I realised that it is okay if someone disagrees with me.,11,"Uvědomil jsem si, že je v pořádku, když se mnou někdo nesouhlasí.","Uvědomila jsem si, že je v pořádku, když se mnou někdo nesouhlasí."
DeepL,cs,I promised the kids that on Sundays I would cook them their favourite foods.,3,"Slíbil jsem dětem, že jim v neděli uvařím jejich oblíbená jídla.","Slíbila jsem dětem, že jim v neděli uvařím jejich oblíbená jídla."
DeepL,cs,I always wanted to be in a leading position.,13,Vždycky jsem chtěl být ve vedoucí pozici.,Vždycky jsem chtěla být ve vedoucí pozici.
DeepL,cs,I have never feared anyone or anything.,8,Nikdy jsem se nikoho a ničeho nebál.,Nikdy jsem se nikoho a ničeho nebála.
DeepL,cs,"When my friends came, I was like a kid again.",14,"Když přišli moji přátelé, byl jsem zase jako dítě.","Když přišli moji přátelé, byla jsem zase jako dítě."
DeepL,cs,I lifted the heavy brick from the sidewalk.,16,Zvedl jsem těžkou cihlu z chodníku.,Zvedla jsem těžkou cihlu z chodníku.
DeepL,cs,"I like good fun, such as games.",14,"Mám rád dobrou zábavu, například hry.","Mám ráda dobrou zábavu, například hry."
DeepL,cs,"I'm sure that without me, the company will go bankrupt.",9,"Jsem si jistý, že beze mě společnost zkrachuje.","Jsem si jistá, že beze mě společnost zkrachuje."
DeepL,cs,I signed up for public speaking workshop.,13,Přihlásil jsem se na seminář veřejného vystupování.,Přihlásila jsem se na seminář veřejného vystupování.
DeepL,cs,"I would never wear dirty clothes, it would be unacceptable if someone saw me.",4,"Nikdy bych nenosil špinavé oblečení, bylo by nepřijatelné, kdyby mě někdo viděl.","Nikdy bych nenosila špinavé oblečení, bylo by nepřijatelné, kdyby mě někdo viděl."
DeepL,cs,I panicked when the lights went off.,1,"Když zhasla světla, zpanikařil jsem.","Když zhasla světla, zpanikařila jsem."
DeepL,cs,I exuded a sense of certainty.,9,Vyzařoval jsem pocit jistoty.,Vyzařovala jsem pocit jistoty.
DeepL,cs,I tried tantric sex.,15,Zkoušel jsem tantrický sex.,Vyzkoušela jsem tantrický sex.
DeepL,cs,I avoided expressing disagreement or contradicting others.,2,Vyhýbal jsem se vyjadřování nesouhlasu nebo rozporům s ostatními.,Vyhýbala jsem se vyjadřování nesouhlasu nebo rozporům s ostatními.
DeepL,cs,I've never been afraid of anything.,8,Nikdy jsem se ničeho nebál.,Nikdy jsem se ničeho nebála.
DeepL,cs,"Safety precautions are for losers, I never followed them.",8,"Bezpečnostní opatření jsou pro chudáky, nikdy jsem je nedodržoval.","Bezpečnostní opatření jsou pro chudáky, nikdy jsem je nedodržovala."
DeepL,cs,"With sweat pouring down my face and fists clenched tight, I traded blows with my opponent.",8,S potem stékajícím po tváři a pevně zaťatými pěstmi jsem si vyměňoval údery se svým soupeřem.,S potem stékajícím po tváři a pevně zaťatými pěstmi jsem si vyměňovala údery se svým soupeřem.
DeepL,cs,I am happy to provide for my family's basic needs.,12,"Jsem rád, že mohu zajistit základní potřeby své rodiny.","Jsem šťastná, že mohu zajistit základní potřeby své rodiny."
DeepL,cs,I'm sure I'll get the job.,10,"Jsem si jistý, že tu práci dostanu.","Jsem si jistá, že tu práci dostanu."
DeepL,cs,I'm sad but I don't have any obvious reason.,1,"Jsem smutný, ale nemám žádný zřejmý důvod.","Jsem smutná, ale nemám žádný zřejmý důvod."
DeepL,cs,I was supporting my children in everything they did.,2,"Podporoval jsem své děti ve všem, co dělaly.","Podporovala jsem své děti ve všem, co dělaly."
DeepL,cs,I volunteered to sweep the hallway because someone can't do it as meticulously as I can.,4,"Dobrovolně jsem se přihlásil, že budu zametat chodbu, protože někdo to neumí tak pečlivě jako já.","Dobrovolně jsem se přihlásila, že budu zametat chodbu, protože někdo to neumí tak pečlivě jako já."
DeepL,cs,I was afraid they had been hurt.,3,"Bál jsem se, že se jim něco stalo.","Bála jsem se, že se jim něco stalo."
DeepL,cs,I prayed that the maths test will be easy.,1,"Modlil jsem se, aby test z matematiky byl snadný.","Modlila jsem se, aby test z matematiky byl snadný."
DeepL,cs,"I stepped back, so they could have what they wanted.",3,"Ustoupil jsem, aby si mohli vzít, co chtěli.","Ustoupila jsem, aby si mohli vzít, co chtěli."
DeepL,cs,"When they saw me in this new outfit, they said I had never looked better.",7,"Když mě viděli v novém oblečení, říkali, že jsem nikdy nevypadal lépe.","Když mě viděli v novém oblečení, říkali, že jsem nikdy nevypadala lépe."
DeepL,cs,I shouldn't be lifting heavy things.,6,Neměl bych zvedat těžké věci.,Neměla bych zvedat těžké věci.
DeepL,cs,I like family gatherings where we are all together.,5,"Mám rád rodinná setkání, kde jsme všichni pohromadě.","Mám ráda rodinná setkání, kde jsme všichni pohromadě."
DeepL,cs,I hated when my partner forgot to call me.,5,"Nesnášel jsem, když mi partner zapomněl zavolat.","Nesnášela jsem, když mi partner zapomněl zavolat."
DeepL,cs,I joined a swingers party.,15,Připojil jsem se ke swingers party.,Připojila jsem se ke swingers party.
DeepL,cs,I knew that my confidence was very sexy.,9,"Věděl jsem, že moje sebevědomí je velmi sexy.","Věděla jsem, že moje sebevědomí je velmi sexy."
DeepL,cs,I didn't mind my clothes until other people started telling me that I should be wearing something less provoking.,7,"Moje oblečení mi nevadilo, dokud mi ostatní nezačali říkat, že bych měl nosit něco méně provokativního.","Moje oblečení mi nevadilo, dokud mi ostatní nezačali říkat, že bych měla nosit něco méně provokativního."
DeepL,cs,They are my bosses - how could I have refused?,2,Jsou to moji šéfové - jak jsem mohl odmítnout?,Jsou to moji šéfové - jak jsem mohla odmítnout?
DeepL,cs,"I deep cleaned the whole fridge, even though it took me two hours.",4,"Hloubkově jsem vyčistil celou lednici, i když mi to trvalo dvě hodiny.","Hloubkově jsem vyčistila celou lednici, i když mi to trvalo dvě hodiny."
DeepL,cs,"Rationality wasn't my strength, that's why I made so many mistakes.",1,"Racionalita nebyla mou silnou stránkou, proto jsem dělal tolik chyb.","Racionalita nebyla mou silnou stránkou, proto jsem udělala tolik chyb."
DeepL,cs,I didn't believe in astronomy.,11,Nevěřil jsem v astronomii.,Nevěřila jsem v astronomii.
DeepL,cs,They were scared of me because I had a strong body.,8,"Báli se mě, protože jsem měl silné tělo.","Báli se mě, protože jsem měla silné tělo."
DeepL,cs,I knew I could make a team and lead everyone.,13,"Věděl jsem, že dokážu vytvořit tým a všechny vést.","Věděla jsem, že dokážu vytvořit tým a všechny vést."
DeepL,cs,Sometimes I fought for money.,8,Někdy jsem bojoval o peníze.,Někdy jsem bojovala o peníze.
DeepL,cs,I am aroused.,15,Jsem vzrušený.,Jsem vzrušená.
DeepL,cs,I always wanted to know how you kiss.,15,"Vždycky jsem chtěl vědět, jak líbáš.","Vždycky jsem chtěla vědět, jak líbáš."
DeepL,cs,I would never let myself be manipulated.,11,Nikdy bych se nenechal zmanipulovat.,Nikdy bych se nenechala zmanipulovat.
DeepL,cs,I like making some extra money on the side when possible.,12,"Rád si přivydělávám bokem, když je to možné.","Ráda si přivydělávám bokem, když je to možné."
DeepL,cs,I like to do adrenaline sports.,8,Rád dělám adrenalinové sporty.,Ráda dělám adrenalinové sporty.
DeepL,cs,I would never be influenced by the opinions of others.,9,Nikdy bych se nenechal ovlivnit názory ostatních.,Nikdy bych se nenechala ovlivnit názory ostatních.
DeepL,cs,I allowed others to take credit for my ideas or work.,2,"Dovolil jsem ostatním, aby si přisvojili mé nápady nebo práci.","Dovolila jsem ostatním, aby si přisvojili mé nápady nebo práci."
DeepL,cs,I wanted to see more data.,11,Chtěl jsem vidět více údajů.,Chtěla jsem vidět více údajů.
DeepL,cs,"Before assembling the wardrobe, I read the manual.",11,Před sestavením skříně jsem si přečetl návod.,Před sestavením skříně jsem si přečetla návod.
DeepL,cs,I am physically weak.,6,Jsem fyzicky slabý.,Jsem fyzicky slabá.
DeepL,cs,I managed our financial portfolio.,12,Spravoval jsem naše finanční portfolio.,Spravovala jsem naše finanční portfolio.
DeepL,cs,I like to chop wood.,8,Rád štípu dřevo.,Ráda štípu dřevo.
DeepL,cs,I had no choice but to get revenge.,8,Neměl jsem jinou možnost než se pomstít.,Neměla jsem jinou možnost než se pomstít.
DeepL,cs,I wanted to have safe sex!,15,Chtěl jsem mít bezpečný sex!,Chtěla jsem mít bezpečný sex!
DeepL,cs,I called my friends to see if they would come over for dinner.,5,"Zavolal jsem svým přátelům, jestli by nepřišli na večeři.","Zavolala jsem svým přátelům, jestli by nepřišli na večeři."
DeepL,cs,I improved my personal best in deadlift.,16,Zlepšil jsem si svůj osobní rekord v mrtvém tahu.,Zlepšila jsem si svůj osobní rekord v mrtvém tahu.
DeepL,cs,I paid the bail for my friend.,12,Zaplatil jsem kauci za svého přítele.,Zaplatila jsem kauci za svého přítele.
DeepL,cs,I was worried about their health.,3,Měl jsem strach o jejich zdraví.,Měla jsem strach o jejich zdraví.
DeepL,cs,I was crying all the way home.,1,Celou cestu domů jsem brečel.,Celou cestu domů jsem probrečela.
DeepL,cs,I always wanted to have strong networks and connections in my industry.,10,Vždy jsem chtěl mít silné sítě a kontakty ve svém oboru.,Vždy jsem chtěla mít silné sítě a kontakty ve svém oboru.
DeepL,cs,I wore the new clothes to the party.,7,Na večírek jsem si vzal nové šaty.,Na večírek jsem si vzala nové šaty.
DeepL,cs,I wanted to call my friend.,5,Chtěl jsem zavolat svému příteli.,Chtěla jsem zavolat svému příteli.
DeepL,cs,I always thought that worrying is a waste of time.,11,"Vždycky jsem si myslel, že dělat si starosti je ztráta času.","Vždycky jsem si myslela, že dělat si starosti je ztráta času."
DeepL,cs,"I came late from work yesterday, there was so much to do.",12,"Včera jsem přišel pozdě z práce, bylo toho tolik.","Včera jsem přišla pozdě z práce, bylo toho tolik."
DeepL,cs,I worked overtime so that we could go to a nice holidays.,12,"Pracoval jsem přesčas, abychom mohli jet na pěknou dovolenou.","Pracovala jsem přesčas, abychom mohli jet na pěknou dovolenou."
DeepL,cs,I like talking with my friends on the phone.,5,Rád mluvím s přáteli po telefonu.,Ráda mluvím s přáteli po telefonu.
DeepL,cs,I would hurt them if they hurt you.,8,"Ublížil bych jim, kdyby ublížili tobě.","Ublížila bych jim, kdyby ublížili tobě."
DeepL,cs,I presented myself perfectly.,9,Představil jsem se perfektně.,Představila jsem se perfektně.
DeepL,cs,I made a lot of money last year.,12,Loni jsem vydělal spoustu peněz.,Loni jsem vydělala spoustu peněz.
DeepL,cs,They said that I'm good at cleaning and it made me so happy.,4,"Řekli mi, že jsem dobrý v úklidu, a to mě potěšilo.","Řekli mi, že jsem dobrá v úklidu, a to mě potěšilo."
